Wavelength,V
360,0.000003493300
361,0.000003918300
362,0.000004396300
363,0.000004933600
364,0.000005536600
365,0.000006211500
366,0.000006968000
367,0.000007818900
368,0.000008775400
369,0.000009848400
370,0.000011049700
371,0.000012383800
372,0.000013874100
373,0.000015556100
374,0.000017465400
375,0.000019637900
376,0.000022152900
377,0.000025007600
378,0.000028120000
379,0.000031405500
380,0.000166101800
381,0.000186458600
382,0.000209502400
383,0.000236413100
384,0.000267703600
385,0.000304111300
386,0.000347225500
387,0.000397272800
388,0.000455282300
389,0.000522286600
390,0.000599527300
391,0.000688245800
392,0.000790368300
393,0.000908508000
394,0.001045277800
395,0.001203513800
396,0.001388486600
397,0.001599696800
398,0.001840292500
399,0.002115642600
400,0.002424418100
401,0.002772415900
402,0.003166431800
403,0.003612218000
404,0.004119967900
405,0.004699901900
406,0.005357228200
407,0.006098278800
408,0.006926032300
409,0.007841237800
410,0.008846874200
411,0.009945679100
412,0.011152902900
413,0.012459083200
414,0.013877035600
415,0.015410684000
416,0.017082671900
417,0.018874520600
418,0.020795326900
419,0.022876482700
420,0.025104789100
421,0.027509355200
422,0.030040417400
423,0.032733684100
424,0.035580272900
425,0.038526710100
426,0.041569169700
427,0.044754945200
428,0.048040381700
429,0.051404111300
430,0.054891643600
431,0.058457299600
432,0.062122286600
433,0.065865227900
434,0.069664755200
435,0.073544100600
436,0.077483599400
437,0.081480852600
438,0.085506929500
439,0.089577490400
440,0.093663604700
441,0.097738883400
442,0.101832908200
443,0.105933800100
444,0.110074244200
445,0.114220101700
446,0.118443619000
447,0.122521787200
448,0.126880513700
449,0.131076170500
450,0.135333987300
451,0.139656354200
452,0.144045304600
453,0.148279675400
454,0.152807161300
455,0.157183626100
456,0.161637099800
457,0.166166984700
458,0.170766574500
459,0.175429162600
460,0.179925087000
461,0.184698091500
462,0.189313760800
463,0.194231766700
464,0.199242923400
465,0.204138054000
466,0.209369481900
467,0.214720770500
468,0.220205832500
469,0.225838580200
470,0.231855881600
471,0.237819985700
472,0.244177151500
473,0.250483724200
474,0.257187728500
475,0.264068491900
476,0.270919468500
477,0.278181039900
478,0.285599571900
479,0.293144386000
480,0.300784803400
481,0.308504771200
482,0.316346472800
483,0.324143315800
484,0.332397841800
485,0.340720592200
486,0.349365111900
487,0.358341300300
488,0.367674574200
489,0.377167573400
490,0.387068581100
491,0.397413627000
492,0.407994738300
493,0.419028895000
494,0.430510300500
495,0.442209934900
496,0.454325247500
497,0.466685008500
498,0.479399357900
499,0.492801212900
500,0.507000802600
501,0.521628556100
502,0.537042539900
503,0.553106751100
504,0.569461785400
505,0.585748684600
506,0.602541603500
507,0.619200570800
508,0.636220815100
509,0.653205654200
510,0.670873093700
511,0.688548381300
512,0.706333719800
513,0.724328904000
514,0.742187906900
515,0.759787746400
516,0.777085169000
517,0.794218139700
518,0.810777847100
519,0.826578435700
520,0.841657005300
521,0.855645411600
522,0.868825113700
523,0.881092838700
524,0.892568269000
525,0.903594042600
526,0.913993043800
527,0.923924195100
528,0.933119415000
529,0.941756532600
530,0.949567466300
531,0.956756265000
532,0.963357174700
533,0.969181842500
534,0.974487826600
535,0.979309819000
536,0.983666101800
537,0.987329349900
538,0.990522251000
539,0.993467582300
540,0.995719254400
541,0.997508338500
542,0.998847230900
543,0.999741906700
544,0.999975474900
545,1.000000000000
546,0.999814857800
547,0.998990635900
548,0.997781860300
549,0.996220101700
550,0.994559975000
551,0.992562918000
552,0.990010077600
553,0.987569785100
554,0.984569874300
555,0.981450102600
556,0.977844198700
557,0.974029786900
558,0.969901453700
559,0.965463034000
560,0.960670650100
561,0.955476232900
562,0.949962186700
563,0.944122358000
564,0.937995273300
565,0.931574957600
566,0.924871756000
567,0.917904396700
568,0.910667796300
569,0.903134665100
570,0.895300098100
571,0.887184874700
572,0.878800677800
573,0.870162133200
574,0.861239275800
575,0.852091322600
576,0.842710603800
577,0.833119771700
578,0.823289753000
579,0.813236065300
580,0.802907339700
581,0.792327031100
582,0.781541068400
583,0.770531525900
584,0.759369749400
585,0.748037991600
586,0.736573352400
587,0.724968340300
588,0.713294390400
589,0.701533666300
590,0.689712833300
591,0.677855257300
592,0.665988049600
593,0.654087755300
594,0.642153304200
595,0.630183715300
596,0.618183537000
597,0.606168376000
598,0.594144653500
599,0.582127708900
600,0.570130651900
601,0.558167305800
602,0.546240435200
603,0.534344600000
604,0.522478730000
605,0.510639436400
606,0.498821546400
607,0.487043788500
608,0.475323553000
609,0.463682600600
610,0.452138143200
611,0.440703915100
612,0.429370284500
613,0.418130830300
614,0.406974672300
615,0.395897618800
616,0.384908142300
617,0.373999821600
618,0.363138321600
619,0.352291536600
620,0.341427361100
621,0.330530099000
622,0.319630964100
623,0.308777133700
624,0.298013555700
625,0.287382948400
626,0.276897886400
627,0.266574868500
628,0.256462900200
629,0.246613528900
630,0.237076384600
631,0.227889904600
632,0.219031570500
633,0.210461205700
634,0.202138633700
635,0.194023677900
636,0.186102827100
637,0.178386292700
638,0.170868144100
639,0.163542004800
640,0.156402613000
641,0.149441719400
642,0.142660661700
643,0.136067154200
644,0.129669044900
645,0.123473869600
646,0.117481762200
647,0.111690939100
648,0.106106483500
649,0.100733166900
650,0.095575894100
651,0.090638277000
652,0.085912235800
653,0.081384963900
654,0.077043476300
655,0.072875011100
656,0.068872638900
657,0.065035133300
658,0.061358427700
659,0.057838388500
660,0.054470904300
661,0.051251881700
662,0.048178244000
663,0.045247556400
664,0.042457393200
665,0.039805270700
666,0.037285735300
667,0.034898029100
668,0.032646695800
669,0.030536257000
670,0.028571301200
671,0.026751970900
672,0.025067836400
673,0.023507567100
674,0.022059796700
675,0.020713145500
676,0.019463676100
677,0.018303148100
678,0.017213707300
679,0.016177575100
680,0.015176915200
681,0.014198198500
682,0.013245946700
683,0.012329555000
684,0.011458334100
685,0.010641688200
686,0.009881374300
687,0.009171756000
688,0.008511067500
689,0.007897647800
690,0.007329735600
691,0.006806401100
692,0.006325789300
693,0.005884825600
694,0.005480413400
695,0.005109473400
696,0.004770266700
697,0.004460229200
698,0.004175060200
699,0.003910499000
700,0.003662222400
701,0.003426924100
702,0.003204307500
703,0.002994608900
704,0.002798082600
705,0.002614984800
706,0.002444588900
707,0.002285441000
708,0.002136669500
709,0.001997431600
710,0.001866837600
711,0.001744163000
712,0.001628988700
713,0.001520964500
714,0.001419736000
715,0.001324935300
716,0.001236105400
717,0.001152876100
718,0.001075046800
719,0.001002421300
720,0.000934803400
721,0.000871945500
722,0.000813486600
723,0.000759045500
724,0.000708255800
725,0.000660724600
726,0.000616157600
727,0.000574402500
728,0.000535290300
729,0.000498642200
730,0.000464315100
731,0.000432095100
732,0.000401866100
733,0.000373565300
734,0.000347112500
735,0.000322453800
736,0.000299491400
737,0.000278118000
738,0.000258235300
739,0.000239736500
740,0.000222549500
741,0.000206568000
742,0.000191737900
743,0.000177987800
744,0.000165273300
745,0.000153532100
746,0.000142709800
747,0.000132727000
748,0.000123529600
749,0.000115037500
750,0.000107188100
751,0.000099918800
752,0.000093185400
753,0.000086948400
754,0.000081152500
755,0.000075752900
756,0.000070704300
757,0.000065980800
758,0.000061567200
759,0.000057447200
760,0.000053604100
761,0.000050015400
762,0.000046660800
763,0.000043527600
764,0.000040606000
765,0.000037884500
766,0.000035348700
767,0.000032985300
768,0.000030782600
769,0.000028727200
770,0.000026808500
771,0.000025013900
772,0.000023337200
773,0.000021770300
774,0.000020309700
775,0.000018947400
776,0.000017677900
777,0.000016493300
778,0.000015389100
779,0.000014359900
780,0.000013399400
781,0.000012473900
782,0.000011640100
783,0.000010860600
784,0.000010133800
785,0.000009453300
786,0.000008816500
787,0.000008220200
788,0.000007662900
789,0.000007142700
790,0.000006658100
791,0.000006206700
792,0.000005786100
793,0.000005394400
794,0.000005029300
795,0.000004689000
796,0.000004371500
797,0.000004075400
798,0.000003799300
799,0.000003542000
800,0.000003302300
801,0.000003078700
802,0.000002870200
803,0.000002675700
804,0.000002494500
805,0.000002325700
806,0.000002168200
807,0.000002021300
808,0.000001884400
809,0.000001756800
810,0.000001637900
811,0.000001527000
812,0.000001423500
813,0.000001327100
814,0.000001237200
815,0.000001153500
816,0.000001075400
817,0.000001002500
818,0.000000934600
819,0.000000871400
820,0.000000812400
821,0.000000757400
822,0.000000706100
823,0.000000658200
824,0.000000613700
825,0.000000572100
826,0.000000533400
827,0.000000497300
828,0.000000463600
829,0.000000432200
830,0.000000402900
